,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
128,600452.SH,20240221,11.6,12.29,11.43,11.89,11.61,0.28,2.4117,146569.34,174717.868
129,605055.SH,20240221,4.46,4.7,4.34,4.5,4.38,0.12,2.7397,82114.06,37469.124
130,001219.SZ,20240221,15.95,16.89,15.86,16.5,16.07,0.43,2.6758,59882.01,98966.086
131,000078.SZ,20240221,2.45,2.54,2.43,2.49,2.47,0.02,0.8097,195869.2,48968.129
132,600984.SH,20240221,2.36,2.57,2.35,2.49,2.38,0.11,4.6218,249316.79,62221.515
133,000815.SZ,20240221,7.3,7.56,7.21,7.33,7.4,-0.07,-0.9459,388458.17,287635.066
134,000786.SZ,20240221,28.78,29.25,28.4,28.5,29.06,-0.56,-1.927,105192.77,302465.619
135,002662.SZ,20240221,2.76,2.91,2.74,2.8,2.78,0.02,0.7194,357728.71,101625.978
136,688193.SH,20240221,28.53,29.9,28.03,29.16,28.53,0.63,2.2082,3543.35,10316.438
137,600516.SH,20240221,4.76,4.96,4.73,4.83,4.8,0.03,0.625,301074.63,146419.55
138,603612.SH,20240221,11.2,11.93,11.06,11.46,11.31,0.15,1.3263,67238.41,77837.041
139,600600.SH,20240221,76.0,80.48,75.4,79.32,76.14,3.18,4.1765,84442.64,664161.66
140,603163.SH,20240221,27.7,28.76,27.46,27.93,27.85,0.08,0.2873,12796.8,36181.047
141,600246.SH,20240221,5.4,5.66,5.35,5.39,5.47,-0.08,-1.4625,288840.0,159238.095
142,688525.SH,20240221,36.77,40.26,36.01,37.95,38.33,-0.38,-0.9914,252604.88,953460.466
143,002313.SZ,20240221,6.12,6.65,6.03,6.43,6.18,0.25,4.0453,195761.0,125623.644
144,605376.SH,20240221,18.4,19.98,18.21,19.1,18.52,0.58,3.1317,36118.79,69916.509
145,600636.SH,20240221,9.88,10.14,9.72,10.13,10.0,0.13,1.3,349861.71,346932.752
146,002298.SZ,20240221,3.75,4.13,3.7,4.13,3.75,0.38,10.1333,452914.96,183215.04
147,688498.SH,20240221,124.44,129.82,123.0,126.0,129.65,-3.65,-2.8153,44395.34,559223.851
148,600805.SH,20240221,3.7,3.9,3.64,3.81,3.71,0.1,2.6954,187315.41,71396.375
149,600586.SH,20240221,5.73,6.04,5.7,5.89,5.8,0.09,1.5517,198254.11,117434.221
150,000803.SZ,20240221,3.83,4.1,3.81,3.95,3.85,0.1,2.5974,103510.29,41231.886
151,002615.SZ,20240221,5.65,6.15,5.61,5.95,5.74,0.21,3.6585,256564.17,152177.928
152,002774.SZ,20240221,5.56,5.94,5.51,5.72,5.62,0.1,1.7794,93199.23,53720.155
153,603077.SH,20240221,2.45,2.49,2.43,2.45,2.45,0.0,0.0,921654.85,226906.1
154,605196.SH,20240221,7.32,7.74,7.28,7.52,7.36,0.16,2.1739,135220.08,102684.579
155,600809.SH,20240221,223.0,236.88,221.01,233.87,223.17,10.7,4.7946,85796.08,1988638.468
156,002282.SZ,20240221,5.51,5.93,5.51,5.71,5.56,0.15,2.6978,68374.11,39384.349
157,833346.BJ,20240221,12.2,12.6,11.95,11.99,12.0,-0.01,-0.0833,32767.37,40179.087
158,002933.SZ,20240221,23.67,25.18,23.6,24.6,24.03,0.57,2.372,49867.5,123369.866
159,001322.SZ,20240221,9.51,10.24,9.31,9.94,9.54,0.4,4.1929,70020.81,69447.374
160,605589.SH,20240221,20.82,21.2,20.55,20.62,21.11,-0.49,-2.3212,83466.52,173815.017
161,603237.SH,20240221,26.64,27.56,26.43,27.21,26.83,0.38,1.4163,7360.83,20045.509
162,600339.SH,20240221,3.11,3.22,3.08,3.16,3.12,0.04,1.2821,663155.23,210295.108
163,688249.SH,20240221,13.64,14.68,13.52,14.42,13.78,0.64,4.6444,134131.65,191583.212
164,600928.SH,20240221,3.43,3.59,3.42,3.53,3.45,0.08,2.3188,424430.9,149706.093
165,688331.SH,20240221,43.25,47.36,43.25,47.36,45.0,2.36,5.2444,33518.63,154645.497
166,002989.SZ,20240221,11.47,12.01,11.26,11.73,11.47,0.26,2.2668,41121.46,48176.494
167,600276.SH,20240221,41.88,42.46,41.45,42.22,41.86,0.36,0.86,299014.7,1260180.46
